Year 1,,Year 2,,Year 3,,Year 4,
Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,AE 201,AE 201,AE 307,AE 307,AE 416,AE 416
COM 219,COM 219,CHM 110,CHM 110,AE 308,AE 308,AE 417,AE 417
EGR 101,EGR 101,CHM 110L,CHM 110L,AE 313,AE 313,AE 418,AE 418
EGR 115,EGR 115,COM 221,COM 221,AE 314,AE 314,AE 432,AE 432
MA 241,MA 241,ES 201,ES 201,AE 315,AE 315,AE 435,AE 435
MA 242,MA 242,ES 202,ES 202,AE 316,AE 316,AE 440,AE 440
PS 150,PS 150,ES 204,ES 204,AE 318,AE 318,AE 442,AE 442
PS 160,PS 160,ES 305,ES 305,AE 403,AE 403,AE 443,AE 443
UNIV 101,UNIV 101,MA 243,MA 243,AE 413,AE 413,HU 3xx,HU 3xx
HU 1xx,HU 1xx,MA 345,MA 345,COM 219,COM 219,HU 3xx,HU 3xx
SS 1xx,SS 1xx,PS 250,PS 250,EE 327,EE 327,AE 3xx,AE 3xx
,,PS 253,PS 253,EE 328,EE 328,Technical,Technical
,,,,MA 441,MA 441,,