Semester 1,Semester 2,Semester 3,Semester 4 ,Semester 5,Semester 6,Semester 7,Semester 8
COM 122,COM 122,COM 221,COM 221,EE 327,EE 327,EC 225,EC 225
COM 219,COM 219,COM 219,COM 219,ES 305,ES 305,ME 436,ME 436
EGR 101,EGR 101,EGR 120,EGR 120,ES 309,ES 309,ME 438,ME 438
EGR 115,EGR 115,ES 201,ES 201,ES 320,ES 320,ME 438L,ME 438L
MA 241,MA 241,ES 202,ES 202,ES 321,ES 321,ME 303,ME 303
MA 242,MA 242,ES 204,ES 204,ES 403,ES 403,ME 405,ME 405
PS 150,PS 150,ME 208,ME 208,MA 348,MA 348,ME 409,ME 409
PS 160,PS 160,ME 243,ME 243,MA 412,MA 412,ME 407,ME 407
UNIV 101,UNIV 101,ME 345,ME 345,MA 441,MA 441,ME 413,ME 413
HU 1xx,HU 1xx,CHM 110,CHM 110,ME 501,ME 501,ME 414,ME 414
SS 1xx,SS 1xx,CHM 110L,CHM 110L,ME 304,ME 304,ME 448,ME 448
N/A,N/A,PS 250,PS 250,ME 313,ME 313,ME 433,ME 433
N/A,N/A,PS 253,PS 253,ME 314,ME 314,ME 437,ME 437
N/A,N/A,N/A,N/A,ME 400,ME 400,ME 434,ME 434
N/A,N/A,N/A,N/A,N/A,N/A,ME 458,ME 458
N/A,N/A,N/A,N/A,N/A,N/A,HU 3xx,HU 3xx